vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-0.3815022,-0.11920096,-14.8358555,-5.8195944,-0.071736746,-0.09937754,-2.0276697,-0.1851758,-0.039247498,0.49059907,0
-0.4660423,-0.3379722,14.34789,5.6737,-0.021571098,-0.19987658,2.6906097,-0.18324903,-0.023837432,-0.21684308,1
-0.86074024,-0.18762797,-0.34651256,-7.2775292,-0.06141583,-0.10220933,-1.9252267,-0.1866306,-0.03759972,-0.3099702,0
-0.34656504,-0.23169722,10.963823,8.68787,-0.03343299,-0.1762138,5.778873,-0.18912873,-0.028088354,-0.06260738,1
0.05537075,0.010988878,-11.219877,-6.398997,-0.08115259,-0.059873868,-3.4774537,-0.18464431,-0.037532784,-0.34609,0
-1.1493745,-0.47435108,14.193635,4.2219195,-0.031432267,-0.1862495,4.0554433,-0.18798253,-0.056512356,-0.2854867,1
-1.0570606,-0.621053,-13.771107,-9.198025,0.007578481,-0.21877539,-5.329656,-0.18349925,-0.013246073,-0.31007168,0
-0.96154356,-0.5401067,0.06389552,-1.0124123,0.018905306,-0.28906918,2.0191534,-0.17782903,-0.054873593,-0.30225214,1
-1.0974754,-0.5506315,-16.732374,-9.112251,-0.023941362,-0.22603177,-4.1452417,-0.1874229,-0.036603622,-0.3350584,0
-1.0798097,-0.42325827,-10.415112,-5.634678,-0.015121179,-0.20162523,-2.632873,-0.18711731,-0.067197435,-0.23352866,0
-0.80345803,-0.34157082,-11.555716,-8.512388,-0.06753341,-0.082052596,-5.3381414,-0.18706286,-0.04678192,0.45329198,0
-1.0671337,-0.66383624,-9.835739,0.2841973,0.005125981,-0.22344276,1.0481069,-0.18577671,-0.052785434,0.18465379,1
-0.7263524,-0.52387136,13.38131,7.6553817,-0.03838545,-0.16750339,7.4020166,-0.18953273,-0.046466462,0.2219889,1
-0.5521544,-0.2610325,-4.3496575,-6.1609354,-0.02121081,-0.17393035,-2.0606468,-0.1856943,-0.04739491,-0.23092052,1
-0.022705095,-0.030568374,-0.03855911,-6.117608,-0.09006587,-0.088975094,0.6026801,-0.1868442,-0.025556855,0.10375468,0
0.01876164,-0.009008316,9.23931,7.5825047,-0.08604924,0.0061867884,1.7043457,-0.15505865,-0.044136383,-0.34612206,1
-0.36889437,0.064765155,13.410378,4.117344,-0.0028368647,-0.23264042,3.4557498,-0.18705878,-0.044862688,-0.22295979,1
-0.44727743,-0.13270377,14.052822,3.33451,-0.020014888,-0.21787934,4.9515142,-0.1875101,-0.04625719,0.16415395,1
-1.0921249,-0.51647866,13.357155,4.919533,-0.028827759,-0.16877827,1.2777967,-0.18663439,-0.06305794,-0.27177826,1
-1.3114139,-0.5556285,6.119656,-8.769781,-0.035724755,-0.17218676,-3.3276331,-0.18652779,-0.04966539,-0.10393652,0
-0.9997203,-0.664076,3.839602,-3.9464836,0.008397331,-0.23650306,0.8747138,-0.18908435,-0.06823981,-0.3250462,1
-0.6860018,0.039689694,-15.391574,-3.532627,-0.016493605,-0.18627128,-4.0258517,-0.18841323,-0.054664202,-0.08559725,0
