vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-0.9409795,-0.9288367,-1.250739,-0.52986217,-0.0572143,-1.9040879,-0.29994968,-0.5658997,-0.014254662,-7.502314,0
0.23627736,-0.6475998,0.9351738,-0.48559594,-0.059468303,-1.9857206,1.0066222,-0.63324785,-0.01508687,8.259163,1
-0.27260625,0.0059219752,0.5870516,-0.010218788,-0.012079468,-0.32063785,-1.1128831,-0.9225054,-0.014218013,-13.213272,0
-0.57126236,-0.61043155,-1.8066245,-0.5385182,-0.043785624,-1.584861,-0.7392685,-0.6117774,-0.013725611,-8.524576,0
-1.1390542,-0.24762833,-0.74110824,-0.033212792,-0.021603204,-0.91749775,-1.2038424,-0.64738786,-0.013136636,-10.368235,0
0.22854783,-0.14102763,0.07825172,-0.51174766,-0.043282118,-1.6390431,1.0770398,-0.73947024,-0.0143844215,10.548059,1
-0.85123205,-0.9566605,-1.3736955,-0.48357624,-0.035838675,-1.3350772,-0.1738291,-0.66142106,-0.013761814,-6.28012,0
-0.5303545,-1.00471,-1.0135556,-0.5051645,-0.04492599,-1.63078,0.52393305,-0.6232114,-0.014000568,2.2818856,1
0.41346827,0.17099167,-0.3910719,-0.21044448,-0.01378491,-0.35028964,0.2691792,-0.66488564,-0.012775163,-11.858124,0
-1.0027319,-1.2562476,-0.9941803,-0.56654614,-0.049353953,-1.7301261,0.3365548,-0.50609195,-0.014290343,6.5975795,1
-0.5147444,-0.8672081,-0.4404284,-0.4769301,-0.060242396,-1.9091322,-0.58041793,-0.71510696,-0.015337686,-11.706192,0
0.22890358,-0.42202324,1.0390209,-0.2850228,-0.068525344,-2.2121065,0.7525823,-0.54696,-0.015940737,9.043777,1
-0.48200104,-0.3276731,-0.7166487,-0.22749339,-0.019467851,-0.6520084,-0.68401676,-0.8320068,-0.013447228,-11.173038,0
-1.2824112,-1.162497,-1.8113859,-0.5683043,-0.054211188,-1.9020724,-1.4078107,-0.7228756,-0.0147148175,-3.5595746,0
-1.3610443,-0.9241195,-0.8737122,-0.21122855,-0.018890379,-0.5166296,-0.11118611,-0.8176098,-0.013255085,-7.8784256,0
-0.55127573,-1.1691613,0.36686575,-0.3818388,-0.05875798,-1.8919398,0.114842035,-0.5428262,-0.015804697,-1.9653087,1
-0.530602,-0.8437598,0.74204904,-0.5438547,-0.04314509,-1.5122247,2.0927217,-0.57723546,-0.014854672,7.2997985,1
-0.7552794,-0.62965775,-0.7097309,-0.59575045,-0.048074365,-1.6520221,-0.5283808,-0.31568447,-0.015159938,7.0521255,1
0.5070598,-0.044007357,-0.24767023,-0.17906238,-0.012534039,-0.39314345,-0.33568743,-0.8559017,-0.01390254,-0.76858914,0
